Elaeagnus_angustifolia	SRR26705271
Elaeagnus_bambusetorum	SRR26757993
Elaeagnus_henryi	SRR26705270
Elaeagnus_macrophylla	SRR26753865
Elaeagnus_mollis	SRR26758012
Elaeagnus_oldhamii	SRR26705501
Elaeagnus_pungens	SRR26705285
Hippophae_neurocarpa	SRR26705287
Hippophae_rhamnoides	SRR26756417
Hippophae_salicifolia	SRR26705274
Hippophae_tibetana	SRR26704952
Shepherdia_argentea	SRR26756705
Barbeya_oleoides	SRR26756183	Outgroup

